"PM 1";"PM 2.5";"PM 10";"TIme"
"";"";"";"4:59:48 PM"
" 2";" 2";" 4";"4:59:49 PM"
" 2";" 2";" 4";"5:00:04 PM"
"";"";"";"5:00:19 PM"
" 3";" 2";" 4";"5:00:19 PM"
" 3";" 2";" 4";"5:00:34 PM"
"";"";"";"5:00:49 PM"
" 2";" 2";" 5";"5:00:50 PM"
" 2";" 2";" 5";"5:01:05 PM"
"";"";"";"5:01:20 PM"
" 3";" 2";" 4";"5:01:21 PM"
" 2";" 2";" 3";"5:01:36 PM"
"";"";"";"5:01:51 PM"
" 2";" 2";" 4";"5:01:51 PM"
" 2";" 2";" 4";"5:02:06 PM"
"";"";"";"5:02:21 PM"
" 2";" 2";" 3";"5:02:22 PM"
" 2";" 2";" 3";"5:02:37 PM"
"";"";"";"5:02:52 PM"
" 3";" 2";" 5";"5:02:52 PM"
" 3";" 2";" 5";"5:03:07 PM"
