"PM1;""PM2.5"";""PM 10"";""TIme"""
"9P;""3P"";""3"
";12:35:39 PM"""
"9P;""3P"";""3"
";12:35:40 PM"""
"9P;""2P"";""3"
";12:35:42 PM"""
";"""";"""";""12:35:43 PM"""
"9P;""3P"";""4"
";12:35:44 PM"""
"9P;""3P"";""4"
";12:35:45 PM"""
"10;""14"";""14"";""12:35:47 PM"""
";"""";"""";""12:35:48 PM"""
"10;""13"";""14"";""12:35:49 PM"""
"10;""13"";""14"";""12:35:50 PM"""
"10;""13"";""14"";""12:35:52 PM"""
";"""";"""";""12:35:53 PM"""
"10;""12"";""13"";""12:35:54 PM"""
"10;""12"";""13"";""12:35:56 PM"""
"10;""13"";""14"";""12:35:57 PM"""
";"""";"""";""12:35:59 PM"""
"9P;""2P"";""3"
";12:35:59 PM"""
"9P;""2P"";""3"
";12:36:01 PM"""
"9P;""2P"";""2"
";12:36:02 PM"""
";"""";"""";""12:36:04 PM"""
"10;""12"";""13"";""12:36:05 PM"""
"10;""12"";""13"";""12:36:06 PM"""
"10;""12"";""13"";""12:36:08 PM"""
";"""";"""";""12:36:09 PM"""
"10;""12"";""13"";""12:36:10 PM"""
"10;""12"";""13"";""12:36:11 PM"""
"10;""12"";""12"";""12:36:13 PM"""
";"""";"""";""12:36:14 PM"""
"10;""12"";""12"";""12:36:15 PM"""
"10;""12"";""12"";""12:36:17 PM"""
"10;""12"";""12"";""12:36:18 PM"""
";"""";"""";""12:36:20 PM"""
"10;""13"";""13"";""12:36:20 PM"""
"10;""13"";""13"";""12:36:22 PM"""
"11;""13"";""13"";""12:36:23 PM"""
";"""";"""";""12:36:25 PM"""
"11;""13"";""13"";""12:36:26 PM"""
"11;""13"";""13"";""12:36:27 PM"""
"11;""13"";""13"";""12:36:29 PM"""
";"""";"""";""12:36:30 PM"""
"12;""14"";""14"";""12:36:31 PM"""
"12;""14"";""14"";""12:36:32 PM"""
"12;""14"";""14"";""12:36:34 PM"""
";"""";"""";""12:36:35 PM"""
"12;""13"";""13"";""12:36:36 PM"""
"12;""13"";""13"";""12:36:38 PM"""
"10;""12"";""12"";""12:36:39 PM"""
";"""";"""";""12:36:41 PM"""
"11;""14"";""14"";""12:36:41 PM"""
"11;""14"";""14"";""12:36:43 PM"""
"12;""14"";""15"";""12:36:44 PM"""
";"""";"""";""12:36:46 PM"""
"12;""14"";""15"";""12:36:47 PM"""
"11;""13"";""14"";""12:36:48 PM"""
"10;""13"";""14"";""12:36:50 PM"""
";"""";"""";""12:36:51 PM"""
"11;""15"";""16"";""12:36:52 PM"""
"11;""15"";""16"";""12:36:53 PM"""
"11;""15"";""16"";""12:36:55 PM"""
";"""";"""";""12:36:56 PM"""
"11;""14"";""16"";""12:36:57 PM"""
"11;""14"";""16"";""12:36:58 PM"""
"11;""15"";""16"";""12:37:00 PM"""
";"""";"""";""12:37:01 PM"""
"11;""15"";""17"";""12:37:02 PM"""
"11;""15"";""17"";""12:37:04 PM"""
"11;""15"";""17"";""12:37:05 PM"""
";"""";"""";""12:37:07 PM"""
"11;""15"";""17"";""12:37:07 PM"""
"11;""15"";""17"";""12:37:09 PM"""
"11;""14"";""15"";""12:37:10 PM"""
";"""";"""";""12:37:12 PM"""
"11;""14"";""15"";""12:37:13 PM"""
"11;""14"";""15"";""12:37:14 PM"""
"11;""14"";""15"";""12:37:16 PM"""
";"""";"""";""12:37:17 PM"""
"11;""14"";""15"";""12:37:18 PM"""
"11;""14"";""15"";""12:37:19 PM"""
"11;""14"";""15"";""12:37:21 PM"""
";"""";"""";""12:37:22 PM"""
"11;""14"";""15"";""12:37:23 PM"""
"11;""14"";""15"";""12:37:25 PM"""
"10;""14"";""15"";""12:37:26 PM"""
";"""";"""";""12:37:28 PM"""
"11;""14"";""15"";""12:37:28 PM"""
"11;""14"";""15"";""12:37:30 PM"""
"11;""14"";""15"";""12:37:31 PM"""
";"""";"""";""12:37:33 PM"""
"11;""15"";""15"";""12:37:34 PM"""
"11;""15"";""15"";""12:37:35 PM"""
"11;""14"";""14"";""12:37:37 PM"""
";"""";"""";""12:37:38 PM"""
"11;""14"";""15"";""12:37:39 PM"""
"11;""14"";""15"";""12:37:40 PM"""
"11;""14"";""15"";""12:37:42 PM"""
";"""";"""";""12:37:43 PM"""
"12;""15"";""16"";""12:37:44 PM"""
"12;""15"";""16"";""12:37:46 PM"""
"12;""15"";""16"";""12:37:47 PM"""
";"""";"""";""12:37:49 PM"""
"13;""15"";""16"";""12:37:49 PM"""
"13;""15"";""16"";""12:37:51 PM"""
"13;""16"";""17"";""12:37:52 PM"""
";"""";"""";""12:37:54 PM"""
"13;""16"";""16"";""12:37:55 PM"""
"13;""16"";""16"";""12:37:56 PM"""
"13;""16"";""17"";""12:37:58 PM"""
";"""";"""";""12:37:59 PM"""
"13;""16"";""16"";""12:38:00 PM"""
"13;""16"";""16"";""12:38:01 PM"""
"13;""15"";""17"";""12:38:03 PM"""
";"""";"""";""12:38:04 PM"""
"13;""15"";""16"";""12:38:05 PM"""
"13;""15"";""16"";""12:38:06 PM"""
"13;""16"";""17"";""12:38:08 PM"""
";"""";"""";""12:38:09 PM"""
";"""";"""";""12:38:10 PM"""
"13;""16"";""17"";""12:38:11 PM"""
"13;""16"";""17"";""12:38:13 PM"""
"13;""16"";""17"";""12:38:14 PM"""
";"""";"""";""12:38:16 PM"""
"13;""16"";""17"";""12:38:16 PM"""
"13;""16"";""17"";""12:38:18 PM"""
"13;""16"";""17"";""12:38:19 PM"""
";"""";"""";""12:38:21 PM"""
"13;""16"";""17"";""12:38:22 PM"""
"13;""15"";""16"";""12:38:23 PM"""
"13;""15"";""16"";""12:38:25 PM"""
";"""";"""";""12:38:26 PM"""
"13;""16"";""16"";""12:38:27 PM"""
"13;""16"";""16"";""12:38:28 PM"""
"13;""16"";""16"";""12:38:30 PM"""
"12;""15"";""15"";""12:38:36 PM"""
"12;""15"";""15"";""12:38:38 PM"""
"11;""14"";""14"";""12:38:39 PM"""
"12;""15"";""15"";""12:38:42 PM"""
"11;""15"";""15"";""12:38:44 PM"""
"11;""15"";""15"";""12:38:45 PM"""
";"""";"""";""12:38:47 PM"""
"11;""14"";""14"";""12:38:48 PM"""
"12;""15"";""15"";""12:38:49 PM"""
"12;""15"";""15"";""12:38:51 PM"""
";"""";"""";""12:38:52 PM"""
"11;""15"";""15"";""12:38:53 PM"""
"11;""14"";""14"";""12:38:54 PM"""
"11;""14"";""14"";""12:38:56 PM"""
";"""";"""";""12:38:57 PM"""
"11;""14"";""14"";""12:38:58 PM"""
"11;""15"";""15"";""12:39:00 PM"""
"11;""15"";""15"";""12:39:01 PM"""
";"""";"""";""12:39:03 PM"""
"11;""15"";""15"";""12:39:03 PM"""
"11;""14"";""14"";""12:39:05 PM"""
"11;""14"";""14"";""12:39:06 PM"""
";"""";"""";""12:39:08 PM"""
"11;""14"";""14"";""12:39:09 PM"""
"11;""14"";""14"";""12:39:10 PM"""
"11;""14"";""14"";""12:39:12 PM"""
";"""";"""";""12:39:13 PM"""
"11;""14"";""14"";""12:39:14 PM"""
"11;""13"";""13"";""12:39:15 PM"""
"11;""13"";""13"";""12:39:17 PM"""
";"""";"""";""12:39:18 PM"""
"11;""13"";""13"";""12:39:19 PM"""
"11;""13"";""13"";""12:39:21 PM"""
"11;""13"";""13"";""12:39:22 PM"""
";"""";"""";""12:39:24 PM"""
"12;""14"";""14"";""12:39:24 PM"""
"12;""14"";""14"";""12:39:26 PM"""
"12;""14"";""14"";""12:39:27 PM"""
";"""";"""";""12:39:29 PM"""
"12;""14"";""14"";""12:39:30 PM"""
"11;""14"";""14"";""12:39:31 PM"""
"11;""14"";""14"";""12:39:33 PM"""
";"""";"""";""12:39:34 PM"""
"11;""14"";""14"";""12:39:35 PM"""
"11;""14"";""14"";""12:39:36 PM"""
"11;""14"";""14"";""12:39:38 PM"""
";"""";"""";""12:39:39 PM"""
"10;""13"";""13"";""12:39:40 PM"""
"10;""14"";""14"";""12:39:41 PM"""
"11;""15"";""15"";""12:39:43 PM"""
";"""";"""";""12:39:44 PM"""
"11;""15"";""15"";""12:39:45 PM"""
"11;""15"";""15"";""12:39:47 PM"""
"11;""15"";""15"";""12:39:48 PM"""
"11;""15"";""15"";""12:39:52 PM"""
"11;""15"";""15"";""12:39:54 PM"""
"11;""15"";""15"";""12:39:55 PM"""
";"""";"""";""12:39:57 PM"""
"11;""15"";""15"";""12:39:57 PM"""
"11;""15"";""15"";""12:39:59 PM"""
"11;""15"";""15"";""12:40:00 PM"""
";"""";"""";""12:40:02 PM"""
";"""";"""";""12:40:03 PM"""
"11;""14"";""15"";""12:40:04 PM"""
"12;""15"";""15"";""12:40:05 PM"""
"12;""15"";""15"";""12:40:07 PM"""
";"""";"""";""12:40:08 PM"""
"11;""14"";""14"";""12:40:09 PM"""
"11;""13"";""13"";""12:40:10 PM"""
"11;""13"";""13"";""12:40:12 PM"""
";"""";"""";""12:40:13 PM"""
"11;""13"";""13"";""12:40:14 PM"""
"12;""14"";""14"";""12:40:15 PM"""
"12;""14"";""14"";""12:40:17 PM"""
";"""";"""";""12:40:18 PM"""
"12;""14"";""14"";""12:40:19 PM"""
"11;""14"";""14"";""12:40:21 PM"""
"11;""14"";""14"";""12:40:22 PM"""
";"""";"""";""12:40:24 PM"""
"11;""13"";""13"";""12:40:24 PM"""
"11;""13"";""13"";""12:40:26 PM"""
"11;""13"";""13"";""12:40:27 PM"""
";"""";"""";""12:40:29 PM"""
"11;""13"";""13"";""12:40:30 PM"""
"10;""13"";""13"";""12:40:31 PM"""
"10;""13"";""13"";""12:40:33 PM"""
";"""";"""";""12:40:34 PM"""
"10;""13"";""13"";""12:40:35 PM"""
"11;""13"";""13"";""12:40:36 PM"""
"11;""13"";""13"";""12:40:38 PM"""
";"""";"""";""12:40:39 PM"""
"10;""13"";""13"";""12:40:45 PM"""
"10;""13"";""13"";""12:40:47 PM"""
"10;""13"";""13"";""12:40:48 PM"""
"10;""14"";""14"";""12:40:52 PM"""
"10;""14"";""14"";""12:40:54 PM"""
"10;""14"";""14"";""12:40:56 PM"""
"10;""13"";""13"";""12:40:59 PM"""
"12;""15"";""16"";""12:45:09 PM"""
"12;""15"";""16"";""12:45:10 PM"""
"12;""16"";""17"";""12:45:12 PM"""
";"""";"""";""12:45:13 PM"""
"11;""15"";""15"";""12:45:14 PM"""
"11;""15"";""15"";""12:45:15 PM"""
"12;""15"";""16"";""12:45:17 PM"""
";"""";"""";""12:45:18 PM"""
"12;""16"";""16"";""12:45:19 PM"""
"12;""16"";""16"";""12:45:21 PM"""
"13;""16"";""17"";""12:45:22 PM"""
";"""";"""";""12:45:24 PM"""
"13;""16"";""17"";""12:45:24 PM"""
"13;""16"";""17"";""12:45:26 PM"""
"12;""15"";""16"";""12:45:27 PM"""
";"""";"""";""12:45:29 PM"""
"12;""15"";""15"";""12:45:30 PM"""
"12;""15"";""15"";""12:45:31 PM"""
"12;""15"";""16"";""12:45:33 PM"""
";"""";"""";""12:45:34 PM"""
"12;""15"";""15"";""12:45:35 PM"""
"12;""15"";""15"";""12:45:36 PM"""
"12;""14"";""15"";""12:45:38 PM"""
";"""";"""";""12:45:39 PM"""
"10;""13"";""14"";""12:45:40 PM"""
"10;""13"";""14"";""12:45:42 PM"""
"10;""13"";""13"";""12:45:43 PM"""
";"""";"""";""12:45:45 PM"""
"12;""14"";""14"";""12:45:45 PM"""
"12;""14"";""14"";""12:45:47 PM"""
"11;""13"";""13"";""12:45:48 PM"""
";"""";"""";""12:45:50 PM"""
"11;""13"";""13"";""12:45:51 PM"""
"11;""13"";""13"";""12:45:52 PM"""
"10;""13"";""13"";""12:45:54 PM"""
";"""";"""";""12:45:55 PM"""
"11;""14"";""14"";""12:45:56 PM"""
"11;""14"";""14"";""12:45:57 PM"""
"11;""13"";""13"";""12:45:59 PM"""
";"""";"""";""12:46:00 PM"""
"11;""14"";""14"";""12:46:01 PM"""
"11;""14"";""14"";""12:46:02 PM"""
"10;""14"";""14"";""12:46:04 PM"""
";"""";"""";""12:46:05 PM"""
"10;""13"";""13"";""12:46:06 PM"""
"10;""13"";""13"";""12:46:08 PM"""
"10;""13"";""13"";""12:46:09 PM"""
";"""";"""";""12:46:11 PM"""
"10;""14"";""14"";""12:46:11 PM"""
"10;""14"";""14"";""12:46:13 PM"""
"11;""14"";""14"";""12:46:14 PM"""
";"""";"""";""12:46:16 PM"""
"11;""14"";""14"";""12:46:17 PM"""
"11;""14"";""14"";""12:46:18 PM"""
"10;""13"";""13"";""12:46:20 PM"""
