"PM 1";"PM2.5";"PM10";"Time"
" 0";" 2";" 0";"6:05:45 PM"
"";"";"";"6:06:15 PM"
" 0";" 2";" 0";"6:06:15 PM"
" 0";" 2";" 0";"6:06:45 PM"
"";"";"";"6:07:15 PM"
" 0";" 2";" 0";"6:07:15 PM"
" 0";" 2";" 0";"6:07:45 PM"
"";"";"";"6:08:15 PM"
" 0";" 2";" 0";"6:08:15 PM"
" 0";" 2";" 0";"6:08:45 PM"
"";"";"";"6:09:15 PM"
" 0";" 2";" 0";"6:09:15 PM"
" 0";" 2";" 0";"6:09:45 PM"
"";"";"";"6:10:15 PM"
" 0";" 2";" 0";"6:10:15 PM"
" 0";" 2";" 0";"6:10:45 PM"
"";"";"";"6:11:15 PM"
" 0";" 2";" 0";"6:11:16 PM"
" 0";" 2";" 0";"6:11:46 PM"
"";"";"";"6:12:16 PM"
" 0";" 2";" 0";"6:12:16 PM"
" 0";" 2";" 0";"6:12:46 PM"
"";"";"";"6:13:16 PM"
" 0";" 2";" 0";"6:13:16 PM"
" 0";" 2";" 1";"6:13:46 PM"
"";"";"";"6:14:16 PM"
" 0";" 2";" 0";"6:14:16 PM"
" 0";" 2";" 0";"6:14:46 PM"
"";"";"";"6:15:16 PM"
" 0";" 2";" 0";"6:15:16 PM"
" 0";" 2";" 0";"6:15:46 PM"
"";"";"";"6:16:16 PM"
" 0";" 2";" 0";"6:16:16 PM"
" 0";" 2";" 0";"6:16:46 PM"
"";"";"";"6:17:16 PM"
" 0";" 2";" 0";"6:17:16 PM"
" 0";" 2";" 0";"6:17:46 PM"
"";"";"";"6:18:16 PM"
" 0";" 2";" 0";"6:18:17 PM"
" 0";" 2";" 0";"6:18:47 PM"
"";"";"";"6:19:17 PM"
" 0";" 2";" 0";"6:19:17 PM"
" 0";" 2";" 0";"6:19:47 PM"
"";"";"";"6:20:17 PM"
" 0";" 2";" 0";"6:20:17 PM"
" 0";" 2";" 0";"6:20:47 PM"
"";"";"";"6:21:17 PM"
" 0";" 2";" 0";"6:21:17 PM"
" 0";" 2";" 0";"6:21:47 PM"
"";"";"";"6:22:17 PM"
" 0";" 2";" 0";"6:22:17 PM"
" 0";" 2";" 0";"6:22:47 PM"
"";"";"";"6:23:17 PM"
" 0";" 2";" 0";"6:23:17 PM"
" 0";" 2";" 0";"6:23:47 PM"
